method,seed,success,message,objective_cost,route_duration_minutes,travel_minutes,service_minutes,handling_minutes,monetary_cost,lateness_minutes,late_deliveries,bridge_crossings,mode_transfers,boat_legs,cart_legs,van_legs,delivered_count,num_deliveries,expanded_route_length,solve_time_seconds
random,7,True,ok,13784.165127655562,842.2364750371976,557.1435538782937,60.0,180.0,1896.1386228066222,2124.9343584586286,12,43,11,45,29,0,15,15,74,0.012841916992329061
nearest_neighbor,7,True,ok,8681.42172392365,505.62104627284816,197.4136197360177,60.0,20.0,26.0,1579.3980309028752,8,12,2,0,21,2,15,15,23,0.009344791993498802
earliest_tw,7,True,ok,750.9492599592265,483.2995066394843,403.2995066394843,60.0,20.0,26.0,0.0,0,31,2,0,34,2,15,15,36,0.009252874995581806
ortools_none,7,True,ok,8492.987118755522,461.8356632580841,159.84059171301166,60.0,20.0,26.0,1554.8467247736792,10,9,2,0,17,2,15,15,19,10.149311042012414
ortools_soft,7,True,ok,780.1372917373885,405.02269610108,226.83749180072482,60.0,20.0,26.0,29.320649517153697,2,18,2,0,20,2,15,15,22,10.009420292000868
ortools_strict,7,True,ok (EDD fallback),750.9492599592265,483.2995066394843,403.2995066394843,60.0,20.0,26.0,0.0,0,31,2,0,34,2,15,15,36,0.03553708300751168
random,8,True,ok,22098.245714348057,915.6570652521909,602.8225954071387,60.0,180.0,1027.3736006681079,3939.4773031603327,11,46,11,21,31,0,15,15,52,0.00914283400925342
nearest_neighbor,8,True,ok,6514.787902088054,467.0440072716283,194.12019662305505,60.0,20.0,26.0,1157.644378236122,12,13,2,0,19,2,15,15,21,0.008975165997981094
earliest_tw,8,True,ok,4118.549662973788,559.3715985798215,479.37159857982124,60.0,20.0,26.0,650.698453020811,12,32,2,0,26,2,15,15,28,0.00877812500402797
ortools_none,8,True,ok,5366.7408436058595,425.6500536090248,178.074585701072,60.0,20.0,26.0,940.4531526384648,8,12,2,0,17,2,15,15,19,10.009713666004245
ortools_soft,8,True,ok,783.4073762386129,372.59870296236625,263.36682048719564,60.0,20.0,26.0,39.70186435901269,3,20,2,0,20,2,15,15,22,10.00984349999635
ortools_strict,8,True,ok (EDD fallback),4118.549662973788,559.3715985798215,479.37159857982124,60.0,20.0,26.0,650.698453020811,12,32,2,0,26,2,15,15,28,0.03231125000456814
random,9,True,ok,26951.71306656999,1052.5998189432646,568.5965964844996,60.0,180.0,1705.621849741738,4733.438297682672,14,52,11,39,34,0,15,15,73,0.012282208001124673
nearest_neighbor,9,True,ok,9373.430353653403,562.1058911436753,212.4825626424006,60.0,20.0,26.0,1700.8543033875778,11,9,2,0,17,2,15,15,19,0.007854124996811152
earliest_tw,9,True,ok,2507.880951408738,523.3756068993888,405.6819466212878,60.0,20.0,26.0,339.3635082119308,7,26,2,0,27,2,15,15,29,0.007892041990999132
ortools_none,9,True,ok,8842.400035657789,537.549831110191,187.92650260891642,60.0,20.0,26.0,1602.0150577985005,10,9,2,0,16,2,15,15,18,10.008416500000749
ortools_soft,9,True,ok,686.7326716253226,389.600618708389,221.83013566700754,60.0,20.0,26.0,15.266348712547824,2,14,2,0,20,2,15,15,22,10.008470125001622
ortools_strict,9,True,ok (EDD fallback),2507.880951408738,523.3756068993888,405.6819466212878,60.0,20.0,26.0,339.3635082119308,7,26,2,0,27,2,15,15,29,0.021150875007151626
random,10,True,ok,18705.597682436244,920.1806258135846,573.2740496838092,60.0,270.0,1155.64890220295,3233.9355683025833,12,43,17,22,33,0,15,15,55,0.010117291007190943
