method,seed,success,message,objective_cost,route_duration_minutes,travel_minutes,service_minutes,handling_minutes,monetary_cost,lateness_minutes,late_deliveries,bridge_crossings,mode_transfers,boat_legs,cart_legs,van_legs,delivered_count,num_deliveries,expanded_route_length,solve_time_seconds
random,7,True,ok,13784.165127655562,842.2364750371976,557.1435538782937,60.0,180.0,1896.1386228066222,2124.9343584586286,12,43,11,45,29,0,15,15,74,0.012016791995847598
nearest_neighbor,7,True,ok,8681.42172392365,505.62104627284816,197.4136197360177,60.0,20.0,26.0,1579.3980309028752,8,12,2,0,21,2,15,15,23,0.008467416002531536
earliest_tw,7,True,ok,750.9492599592265,483.2995066394843,403.2995066394843,60.0,20.0,26.0,0.0,0,31,2,0,34,2,15,15,36,0.008412958006374538
ml_ranker,7,True,ok,682.1256771898088,425.6678415731609,281.8204253120921,60.0,20.0,26.0,3.524782966013504,1,21,2,0,25,2,15,15,27,0.009026291008922271
ortools_soft,7,True,ok,780.1372917373885,405.02269610108,226.83749180072482,60.0,20.0,26.0,29.320649517153697,2,18,2,0,20,2,15,15,22,10.009059542004252
random,8,True,ok,22098.245714348057,915.6570652521909,602.8225954071387,60.0,180.0,1027.3736006681079,3939.4773031603327,11,46,11,21,31,0,15,15,52,0.009129833997576497
nearest_neighbor,8,True,ok,6514.787902088054,467.0440072716283,194.12019662305505,60.0,20.0,26.0,1157.644378236122,12,13,2,0,19,2,15,15,21,0.00877179199596867
earliest_tw,8,True,ok,4118.549662973788,559.3715985798215,479.37159857982124,60.0,20.0,26.0,650.698453020811,12,32,2,0,26,2,15,15,28,0.008740500008570962
ml_ranker,8,True,ok,718.2174655504268,411.50271655387473,300.1192289603868,60.0,20.0,26.0,14.992678143922944,2,22,2,0,26,2,15,15,28,0.009407541001564823
ortools_soft,8,True,ok,783.4073762386129,372.59870296236625,263.36682048719564,60.0,20.0,26.0,39.70186435901269,3,20,2,0,20,2,15,15,22,10.00945708299696
random,9,True,ok,26951.71306656999,1052.5998189432646,568.5965964844996,60.0,180.0,1705.621849741738,4733.438297682672,14,52,11,39,34,0,15,15,73,0.011845291999634355
nearest_neighbor,9,True,ok,9373.430353653403,562.1058911436753,212.4825626424006,60.0,20.0,26.0,1700.8543033875778,11,9,2,0,17,2,15,15,19,0.007756209000945091
earliest_tw,9,True,ok,2507.880951408738,523.3756068993888,405.6819466212878,60.0,20.0,26.0,339.3635082119308,7,26,2,0,27,2,15,15,29,0.0077034160058246925
ml_ranker,9,True,ok,624.676058233651,399.1173721557674,244.4247809710682,60.0,20.0,26.0,0.0,0,16,2,0,22,2,15,15,24,0.00836316600907594
ortools_soft,9,True,ok,686.7326716253226,389.600618708389,221.83013566700754,60.0,20.0,26.0,15.266348712547824,2,14,2,0,20,2,15,15,22,10.008341791006387
random,10,True,ok,18705.597682436244,920.1806258135846,573.2740496838092,60.0,270.0,1155.64890220295,3233.9355683025833,12,43,17,22,33,0,15,15,55,0.009551333001581952
nearest_neighbor,10,True,ok,6647.217698871172,473.0635643671717,201.15082114033407,60.0,20.0,26.0,1182.3244704640829,10,11,2,0,23,2,15,15,25,0.0074071249982807785
earliest_tw,10,True,ok,640.9907037309622,409.993802487308,329.9938024873083,60.0,20.0,26.0,0.0,0,24,2,0,25,2,15,15,27,0.007329625004786067
ml_ranker,10,True,ok,710.8448678942202,386.71278219130033,257.86849096723347,60.0,20.0,26.0,20.95513892145391,1,18,2,0,22,2,15,15,24,0.007990541998879053
ortools_soft,10,True,ok,782.6146803700929,364.156491670581,182.2838687079916,60.0,20.0,26.0,42.07598857284427,3,13,2,0,18,2,15,15,20,10.00807925000845
random,11,True,ok,16824.195835365903,758.8762466112096,339.2970958543292,60.0,120.0,789.5095937574246,2979.2743743383335,12,26,7,17,26,0,15,15,43,0.006955000004381873
nearest_neighbor,11,True,ok,8128.505932849779,518.0752343712904,187.872466340815,60.0,20.0,26.0,1465.078616258569,8,12,2,0,20,2,15,15,22,0.007988792000105605
earliest_tw,11,True,ok,588.1875480001186,374.7916986667457,240.1145612374398,60.0,20.0,26.0,0.0,0,19,2,0,21,2,15,15,23,0.00792649999493733
ml_ranker,11,True,ok,617.2767463430218,394.1844975620146,231.66598334667566,60.0,20.0,26.0,0.0,0,16,2,0,21,2,15,15,23,0.008661416999530047
ortools_soft,11,True,ok,615.4745346751492,392.9830231167663,176.22555564120375,60.0,20.0,26.0,0.0,0,12,2,0,19,2,15,15,21,10.008809457998723
random,12,True,ok,18794.500354453645,872.2186669663547,454.38473735623415,60.0,140.0,946.8473484372943,3307.865001113366,12,42,9,19,29,2,15,15,50,0.008445083993137814
nearest_neighbor,12,True,ok,9288.2298551611,550.7397208237564,183.75116827462082,60.0,20.0,26.0,1687.2240547850938,12,13,2,0,17,2,15,15,19,0.008668583002872765
